Provnce,Health region,Hospital name,Type of hospital,Teaching status,Intensive Care,Obstetrics,Pediatrics,Mental Health and Addictions ,Rehabilitation,Long-Term Care,Other Acute
ON,Central East LHIN,Scarborough Health Network,G,Non-Teaching,62,50,26,92,20,33,482
ON,Central LHIN,Humber River Hospital,G,Non-Teaching,41,25,14,64,18,0,466
ON,Central LHIN,Mackenzie Health,G,Non-Teaching,30,14,6,25,23,74,259
ON,Central LHIN,Markham Stouffville Hospital,G,Non-Teaching,10,29,5,33,31,10,188
ON,Central LHIN,North York General Hospital,G,Non-Teaching,21,28,12,50,,,320
AB,Calgary Zone,Alberta Children’s Hospital,S-Ped,Teaching,15,,92,12,0,,8
AB,Calgary Zone,Canmore General Hospital,"G,E",Non-Teaching,,,,,,23,21
AB,Calgary Zone,Claresholm General Hospital,G,Non-Teaching,,,,,,,16
AB,Calgary Zone,Covenant Health Mineral Springs Hospital,"G,E",Non-Teaching,,,,,,25,22
AB,Calgary Zone,Didsbury District Health Services,"G,E",Non-Teaching,,,,,,21,16
AB,Calgary Zone,Foothills Medical Centre,G,Teaching,68,53,,81,45,,795
AB,Calgary Zone,High River General Hospital,"G,E",Non-Teaching,,2,,,,50,25
AB,Calgary Zone,Oilfields General Hospital,"G,E",Non-Teaching,,,,,,30,15
AB,Calgary Zone,Peter Lougheed Centre,G,Teaching,24,46,12,110,,,303
AB,Calgary Zone,Rockyview General Hospital,G,Teaching,17,40,,80,50,,398
AB,Calgary Zone,South Health Campus,G,Non-Teaching,12,24,,36,,,184
AB,Calgary Zone,Strathmore District Health Services,"G,E",Non-Teaching,,,,,,,23
AB,Calgary Zone,Vulcan Community Health Centre,"G,E",Non-Teaching,,,,,,15,8
AB,Central Zone,Bentley Care Centre,E,Non-Teaching,,,,,,16,
AB,Central Zone,Bethany Meadows,E,Non-Teaching,,,,,,,
AB,Central Zone,Breton Health Centre,E,Non-Teaching,,,,,,23,
AB,Central Zone,Consort Hospital and Care Centre,G,Non-Teaching,,,,,,15,5
AB,Central Zone,Coronation Hospital and Care Centre,G,Non-Teaching,,,,,,23,10
AB,Central Zone,Covenant Health Killam Health Care Centre,"G,E",Non-Teaching,,,,,,45,5
AB,Central Zone,Covenant Health Mary Immaculate Care Centre,E,Non-Teaching,,,,,,30,
AB,Central Zone,Covenant Health Our Lady of the Rosary Hospital,E,Non-Teaching,,,,,,22,5
AB,Central Zone,Covenant Health St. Joseph’s General Hospital,G,Non-Teaching,,,,,,,23
AB,Central Zone,Covenant Health St. Mary’s Hospital [Camrose],G,Non-Teaching,,18,,10,,,48
AB,Central Zone,Daysland Health Centre,G,Non-Teaching,,,,,,,26
AB,Central Zone,Drayton Valley Hospital and Care Centre,G,Non-Teaching,,,,,4,50,28
AB,Central Zone,Drumheller Health Centre,G,Non-Teaching,,,,,4,96,33
AB,Central Zone,Hanna Health Centre,G,Non-Teaching,,,,,,,17
AB,Central Zone,Hardisty Health Centre,"G,E",Non-Teaching,,,,,,15,5
AB,Central Zone,Innisfail Health Centre,G,Non-Teaching,,,,,,78,28
AB,Central Zone,Lacombe Hospital and Care Centre,G,Non-Teaching,,,,,4,75,31
AB,Central Zone,Lamont Health Care Centre,"G,E",Non-Teaching,,,,,,,15
AB,Central Zone,Mannville Care Centre,E,Non-Teaching,,,,,,23,
AB,Central Zone,Olds Hospital and Care Centre,G,Non-Teaching,,,,,5,45,33
AB,Central Zone,Ponoka Hospital and Care Centre,G,Non-Teaching,,,,,,28,29
AB,Central Zone,Provost Health Centre,"G,E",Non-Teaching,,,,,,47,15
AB,Central Zone,Red Deer Regional Hospital Centre,G,Non-Teaching,18,23,10,40,30,,232
AB,Central Zone,Rimbey Hospital and Care Centre,G,Non-Teaching,,,,,,84,23
AB,Central Zone,Rocky Mountain House Health Centre,G,Non-Teaching,,,,,,,31
AB,Central Zone,Stettler Hospital and Care Centre,G,Non-Teaching,,,,,4,46,26
AB,Central Zone,Sundre Hospital and Care Centre,G,Non-Teaching,,,,,4,5,14
AB,Central Zone,The Centennial Centre for Mental Health and Brain Injury,S-Psy,Teaching,,,,330,,,
AB,Central Zone,Three Hills Health Centre,G,Non-Teaching,,,,,,24,21
AB,Central Zone,Tofield Health Centre,"G,E",Non-Teaching,,,,,,50,16
AB,Central Zone,Two Hills Health Centre,"G,E",Non-Teaching,,,,,12,56,15
AB,Central Zone,Vermilion Health Centre,"G,E",Non-Teaching,,,,,,,25
AB,Central Zone,Viking Health Centre,G,Non-Teaching,,,,,,,16
AB,Central Zone,Wainwright Health Centre,"G,E",Non-Teaching,,,,,,69,25
AB,Central Zone,Wetaskiwin Hospital and Care Centre,G,Non-Teaching,3,5,10,,4,28,47
AB,Edmonton Zone,Alberta Hospital Edmonton,S-Psy,Teaching,,,,295,,,
AB,Edmonton Zone,Covenant Health Grey Nuns Community Hospital,G,Teaching,18,31,,69,,,208
AB,Edmonton Zone,Covenant Health Misericordia Community Hospital,G,Teaching,20,20,,28,16,,210
AB,Edmonton Zone,Cross Cancer Institute,C,Non-Teaching,,,,,,,55
AB,Edmonton Zone,Devon General Hospital,G,Non-Teaching,,,,,,14,10
AB,Edmonton Zone,Fort Saskatchewan Community Hospital,G,Non-Teaching,,,,,,,36
